week_year, TV,Digital,Sponsorship,Content.Marketing,Online_marketing,Affiliates,SEM
26,0.047619048,0.595238095,1.761904762,0,0.30952381,0.119047619,1.19047619
27,0.076190476,0.952380952,2.819047619,0,0.495238095,0.19047619,1.904761905
28,0.093333333,1.166666667,3.453333333,0,0.606666667,0.233333333,2.333333333
29,0.103809524,1.297619048,3.840952381,0,0.674761905,0.25952381,2.595238095
30,0.11,1.375,4.07,0,0.715,0.275,2.75
31,0.062380952,1.089285714,2.57,0,0.429285714,0.179761905,2.154761905
32,0.033809524,0.917857143,1.67,0,0.257857143,0.122619048,1.797619048
33,0.016666667,0.815,1.13,0,0.155,0.088333333,1.583333333
34,0.006190476,0.752142857,0.8,0,0.092142857,0.067380952,1.452380952
35,0.928571429,0.738809524,15.29547619,0.142857143,3.935952381,1.221666667,2.255952381
36,1.485714286,0.753095238,24.1097619,0.228571429,6.26452381,1.921666667,2.78452381
37,1.82,0.761666667,29.39833333,0.28,7.661666667,2.341666667,3.101666667
38,2.024285714,0.766904762,32.6302381,0.311428571,8.51547619,2.598333333,3.29547619
39,2.145,0.77,34.54,0.33,9.02,2.75,3.41
40,2.668809524,3.436666667,39.75428571,0.996666667,10.9247619,3.226190476,9.529047619
41,2.983095238,5.036666667,42.88285714,1.396666667,12.06761905,3.511904762,13.20047619
42,3.171666667,5.996666667,44.76,1.636666667,12.75333333,3.683333333,15.40333333
43,3.286904762,6.583333333,45.90714286,1.783333333,13.17238095,3.788095238,16.74952381
44,2.902619048,4.23952381,29.79928571,1.108095238,12.27714286,3.754761905,11.18785714
45,2.631190476,2.625238095,19.72785714,0.650952381,11.59142857,3.697619048,7.373571429
46,2.468333333,1.656666667,13.685,0.376666667,11.18,3.663333333,5.085
47,2.368809524,1.064761905,9.992142857,0.209047619,10.92857143,3.642380952,3.686428571
48,2.595714286,1.143571429,17.92904762,0.324285714,11.47047619,3.677619048,4.288571429
49,2.767142857,1.400714286,24.00047619,0.452857143,11.8847619,3.706190476,5.145714286
50,2.87,1.555,27.64333333,0.53,12.13333333,3.723333333,5.66
51,2.932857143,1.649285714,29.86952381,0.577142857,12.2852381,3.733809524,5.974285714
52,2.97,1.705,31.185,0.605,12.375,3.74,6.16
53,2.731904762,1.085952381,18.685,0.557380952,12.4702381,3.882857143,4.493333333
54,2.589047619,0.71452381,11.185,0.528809524,12.52738095,3.968571429,3.493333333
55,2.503333333,0.491666667,6.685,0.511666667,12.56166667,4.02,2.893333333
56,2.450952381,0.35547619,3.935,0.501190476,12.58261905,4.051428571,2.526666667
57,1.991428571,0.608333333,4.095714286,0.423571429,11.88071429,3.855714286,2.476666667
58,1.734285714,0.808333333,5.167142857,0.380714286,11.45214286,3.727142857,2.576666667
59,1.58,0.928333333,5.81,0.355,11.195,3.65,2.636666667
60,1.485714286,1.001666667,6.202857143,0.339285714,11.03785714,3.602857143,2.673333333
61,3.025238095,1.092619048,13.55404762,0.282380952,10.58785714,3.503571429,2.766428571
62,3.982380952,1.121190476,17.82547619,0.253809524,10.37357143,3.460714286,2.809285714
63,4.556666667,1.138333333,20.38833333,0.236666667,10.245,3.435,2.835
64,4.907619048,1.148809524,21.95452381,0.226190476,10.16642857,3.419285714,2.850714286
65,5.115,1.155,22.88,0.22,10.12,3.41,2.86
66,4.138809524,0.869285714,18.76095238,0.124761905,9.667619048,3.290952381,2.621904762
67,3.553095238,0.697857143,16.28952381,0.067619048,9.396190476,3.21952381,2.479047619
68,3.201666667,0.595,14.80666667,0.033333333,9.233333333,3.176666667,2.393333333
69,2.986904762,0.532142857,13.90047619,0.012380952,9.133809524,3.15047619,2.340952381
70,1.955238095,0.471190476,15.12690476,0.19047619,10.78928571,3.396904762,2.952857143
71,1.412380952,0.456904762,16.18404762,0.304761905,11.81785714,3.554047619,3.338571429
72,1.086666667,0.448333333,16.81833333,0.373333333,12.435,3.648333333,3.57
73,0.887619048,0.443095238,17.20595238,0.415238095,12.81214286,3.705952381,3.711428571
74,0.841428571,0.582857143,15.8397619,0.24952381,9.296904762,2.787619048,3.033095238
75,0.884285714,0.668571429,14.88261905,0.135238095,7.054047619,2.216190476,2.575952381
76,0.91,0.72,14.30833333,0.066666667,5.708333333,1.873333333,2.301666667
77,0.925714286,0.751428571,13.95738095,0.024761905,4.885952381,1.663809524,2.134047619
78,0.935,0.77,13.75,0,4.4,1.54,2.035
79,0.577857143,1.031904762,9.55952381,0,2.804761905,0.992380952,2.34452381
