Id,Application Date,City,Income,Stage
1,30-Sep-18,North West Delhi,307296,Stage 1
2,30-Sep-18,North West Delhi,323976,Stage 0
3,30-Sep-18,Mumbai,235632,Stage 1
4,30-Sep-18,Jaipur,250668,Stage 0
5,30-Sep-18,Lakhimpur,533616,Stage 0
6,30-Sep-18,Pune,227940,Stage 1
7,30-Sep-18,Bengaluru,401592,Stage 0
8,30-Sep-18,Mumbai,39528,Stage 1
9,30-Sep-18,Bengaluru,174720,Stage 1
10,30-Sep-18,Pune,290208,Stage 1
11,30-Sep-18,Gandhi Nagar,238464,Stage 0
12,30-Sep-18,Bengaluru,247188,Stage 0
13,30-Sep-18,Nagpur,234732,Stage 1
14,30-Sep-18,Pune,298692,Stage 1
15,30-Sep-18,Chennai,213516,Stage 0
16,30-Sep-18,Hyderabad,534372,Stage 0
17,30-Sep-18,Mysuru,728400,Stage 1
18,30-Sep-18,Ahmedabad,300912,Stage 0
19,30-Sep-18,Mumbai,208464,Stage 1
20,30-Sep-18,Bengaluru,416796,Stage 0
21,30-Sep-18,Other,374004,Stage 1
22,30-Sep-18,Bengaluru,192324,Stage 0
23,30-Sep-18,Korba,229776,Stage 1
24,30-Sep-18,Bengaluru,274680,Stage 0
25,30-Sep-18,Pune,195168,Stage 0
26,30-Sep-18,Bengaluru,707856,Stage 0
27,30-Sep-18,Hyderabad,169368,Stage 0
28,30-Sep-18,Betul,206784,Stage 0
29,30-Sep-18,Bengaluru,304020,Stage 1
30,30-Sep-18,Bengaluru,221592,Stage 1
31,30-Sep-18,Bengaluru,196716,Stage 1
32,30-Sep-18,Korba,227412,Stage 0
33,30-Sep-18,Surat,301200,Stage 1
34,30-Sep-18,Surat,305244,Stage 0
35,30-Sep-18,Mumbai,245784,Stage 1
36,30-Sep-18,Jabalpur,257112,Stage 0
37,30-Sep-18,Pune,261216,Stage 1
38,30-Sep-18,Bengaluru,262416,Stage 0
39,30-Sep-18,K.V.Rangareddy,186840,Stage 1
40,30-Sep-18,Bengaluru,201264,Stage 1
41,30-Sep-18,Bengaluru,222072,Stage 1
42,30-Sep-18,Vijayapura,236064,Stage 1
43,30-Sep-18,Gopalganj,324300,Stage 1
44,30-Sep-18,Bengaluru,1246260,Stage 1
45,30-Sep-18,Gondia,399360,Stage 1
46,30-Sep-18,Chennai,251592,Stage 1
47,30-Sep-18,Bengaluru,216672,Stage 2
48,30-Sep-18,Mumbai,340368,Stage 1
49,30-Sep-18,Bengaluru,220344,Stage 0
50,30-Sep-18,Haveri,278004,Stage 1
51,30-Sep-18,Chennai,328992,Stage 1
52,30-Sep-18,Bengaluru,231012,Stage 1
53,30-Sep-18,Bengaluru,351408,Stage 1
54,30-Sep-18,Bengaluru,631416,Stage 1
55,30-Sep-18,Chennai,246324,Stage 0
56,30-Sep-18,Meerut,384492,Stage 1
57,30-Sep-18,Ananthapur,423780,Stage 0
58,30-Sep-18,Bengaluru,515724,Stage 1
59,30-Sep-18,Pune,360336,Stage 0
60,30-Sep-18,South West Delhi,328752,Stage 1
61,30-Sep-18,K.V.Rangareddy,176232,Stage 0
62,30-Sep-18,Chennai,875136,Stage 1
63,30-Sep-18,Bengaluru,112812,Stage 0
64,30-Sep-18,Bengaluru,196428,Stage 2
65,30-Sep-18,Mumbai,216468,Stage 4
66,30-Sep-18,South Delhi,300396,Stage 1
67,30-Sep-18,Pune,287424,Stage 2
68,30-Sep-18,Dharwad,176340,Stage 0
69,30-Sep-18,Bengaluru,753288,Stage 0
70,30-Sep-18,Jodhpur,299820,Stage 1
71,30-Sep-18,Rajsamand,173352,Stage 0
72,30-Sep-18,Pune,234936,Stage 4
73,30-Sep-18,Bengaluru,440580,Stage 1
74,30-Sep-18,Chennai,362376,Stage 0
75,30-Sep-18,Pune,162540,Stage 1
76,30-Sep-18,Bengaluru,547536,Stage 1
77,30-Sep-18,East Godavari,410472,Stage 0
78,30-Sep-18,Bengaluru,298332,Stage 4
